vintage_year,target_year,projected_births,forecast_basis,forecast_source_url,forecast_published_date,notes
2002,2025,862709,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2026,854712,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2027,847300,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2028,840421,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2029,833895,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2030,827544,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2031,821219,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2032,814765,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2033,808035,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2034,801022,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2035,793706,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2036,786053,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2037,778084,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2038,769837,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2039,761353,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2040,752689,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2041,743899,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2042,735024,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2043,726111,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2044,717204,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2045,708344,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2046,699576,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2047,690944,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2048,682492,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2049,674266,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2050,666901,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2006,2006,1089870,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2007,1022168,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2008,986916,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2009,959950,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2010,934629,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2011,911130,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2012,889574,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2013,869963,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2014,852201,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2015,836110,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2016,821430,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2017,807861,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2018,795266,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2019,783674,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2020,773023,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2021,763265,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2022,754355,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2023,746167,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2024,738569,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2025,731420,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2026,724534,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2027,717682,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2028,710647,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2029,703259,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2030,695367,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2031,686818,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2032,677494,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2033,667371,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2034,656491,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2035,644942,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2036,632851,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2037,620369,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2038,607674,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2039,594946,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2040,582357,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2041,570068,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2042,558216,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2043,546910,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2044,536214,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2045,526157,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2046,516755,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2047,508015,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2048,499920,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2049,492426,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2050,485478,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2051,479014,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2052,472966,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2053,467266,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2054,461843,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2006,2055,456624,total,https://www.ipss.go.jp/syoushika/tohkei/suikei07/houkoku/kekka-1/1-8.xls,2006-12,表1-8(出生中位・死亡中位推計)
2012,2011,1059245,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2012,1017985,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2013,1007044,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2014,980195,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2015,952290,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2016,924830,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2017,898964,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2018,875362,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2019,854404,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2020,836262,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2021,820777,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2022,807705,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2023,796832,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2024,787838,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2025,780283,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2026,773672,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2027,767503,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2028,761410,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2029,755207,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2030,748805,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2031,742140,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2032,735143,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2033,727787,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2034,720093,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2035,712086,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2036,703760,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2037,695092,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2038,686060,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2039,676633,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2040,666787,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2041,656518,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2042,645857,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2043,634871,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2044,623649,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2045,612272,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2046,600823,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2047,589405,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2048,578145,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2049,567167,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2050,556581,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2051,546487,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2052,536973,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2053,528090,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2054,519857,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2055,512262,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2056,505265,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2057,498802,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2058,492791,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2059,487141,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2012,2060,481760,total,https://www.ipss.go.jp/syoushika/tohkei/newest04/s-kekka/1-8.xls,2012-01,表1-8(出生中位・死亡中位推計)
2017,2016,977127,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2017,952267,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2018,927904,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2019,904342,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2020,885553,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2021,868569,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2022,853982,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2023,842005,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2024,832523,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2025,825140,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2026,819189,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2027,813964,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2028,808883,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2029,803494,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2030,797532,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2031,790945,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2032,783824,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2033,776308,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2034,768550,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2035,760684,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2036,752788,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2037,744865,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2038,736885,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2039,728805,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2040,720578,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2041,712197,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2042,703688,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2043,695080,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2044,686402,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2045,677661,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2046,668843,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2047,659944,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2048,650972,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2049,641947,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2050,632939,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2051,624065,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
