issue,issue_kind,restated_from,target_fiscal_year,real_low,real_high,real_median,cpi_low,cpi_high,cpi_median,cpi_extax_low,cpi_extax_high,cpi_extax_median,source_url,notes
2010-04,restated,2010-01,2010,1.2,1.4,1.3,-0.6,-0.5,-0.5,,,,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2010-04,restated,2010-01,2011,1.7,2.4,2.1,-0.3,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2010-10,main,,2010,2.0,2.3,2.1,-0.5,-0.3,-0.4,,,,https://www.boj.or.jp/mopo/outlook/gor1010a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p14)。注3:高校授業料無償化の影響を除いたベース。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2010-10,main,,2011,1.5,1.9,1.8,0.0,0.3,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1010a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p14)。
2010-10,main,,2012,2.0,2.4,2.1,0.2,0.8,0.6,,,,https://www.boj.or.jp/mopo/outlook/gor1010a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p14)。新規追加年度。
2010-10,restated,2010-07,2010,2.5,2.7,2.6,-0.5,-0.2,-0.4,,,,https://www.boj.or.jp/mopo/outlook/gor1010a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p14)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2010-10,restated,2010-07,2011,1.8,2.1,1.9,0.0,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1010a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p14)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2011-04,main,,2010,2.8,2.8,2.8,,,,,,,https://www.boj.or.jp/mopo/outlook/gor1104a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p16)。注3により2010年度の国内企業物価指数・消費者物価指数は実績値のため非収録(実質GDPのみ政策委員見通し)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2011-04,main,,2011,0.5,0.9,0.6,0.5,0.8,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1104a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p16)。
2011-04,main,,2012,2.7,3.0,2.9,0.5,0.7,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1104a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p16)。新規追加年度。
2011-04,restated,2011-01,2010,3.3,3.4,3.3,-0.4,-0.3,-0.3,,,,https://www.boj.or.jp/mopo/outlook/gor1104a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p16)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2011-04,restated,2011-01,2011,1.4,1.7,1.6,0.0,0.4,0.3,,,,https://www.boj.or.jp/mopo/outlook/gor1104a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p16)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2011-04,restated,2011-01,2012,1.9,2.2,2.0,0.2,0.8,0.6,,,,https://www.boj.or.jp/mopo/outlook/gor1104a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p16)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2011-10,main,,2011,0.2,0.4,0.3,0.0,0.0,0.0,,,,https://www.boj.or.jp/mopo/outlook/gor1110a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2011-10,main,,2012,2.1,2.4,2.2,0.0,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1110a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。
2011-10,main,,2013,1.3,1.6,1.5,0.4,0.6,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor1110a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。新規追加年度。
2011-10,restated,2011-07,2011,0.2,0.6,0.4,0.6,0.8,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1110a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2011-10,restated,2011-07,2012,2.5,3.0,2.9,0.6,0.7,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1110a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2012-04,main,,2011,-0.2,-0.2,-0.2,,,,,,,https://www.boj.or.jp/mopo/outlook/gor1204a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。注3により2011年度の国内企業物価指数・消費者物価指数は実績値のため非収録(実質GDPのみ政策委員見通し)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2012-04,main,,2012,2.1,2.4,2.3,0.1,0.4,0.3,,,,https://www.boj.or.jp/mopo/outlook/gor1204a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。
2012-04,main,,2013,1.6,1.8,1.7,0.5,0.7,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1204a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。新規追加年度。
2012-04,restated,2012-01,2011,-0.4,-0.3,-0.4,-0.1,0.0,-0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1204a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2012-04,restated,2012-01,2012,1.8,2.1,2.0,0.0,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1204a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2012-04,restated,2012-01,2013,1.4,1.7,1.6,0.4,0.5,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor1204a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2012-10,main,,2012,1.4,1.6,1.5,-0.1,-0.1,-0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1210a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p18)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。本号よりWPI(国内企業物価指数)列は削除され表は実質GDP・CPIの2本立てに変更(消費税率引き上げの影響を除くケース列がFY2014のみ新設)。
2012-10,main,,2013,1.3,1.8,1.6,0.2,0.6,0.4,,,,https://www.boj.or.jp/mopo/outlook/gor1210a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p18)。
2012-10,main,,2014,0.2,0.7,0.6,2.4,3.0,2.8,0.4,1.0,0.8,https://www.boj.or.jp/mopo/outlook/gor1210a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p18)。新規追加年度。消費税率引き上げ(2014年4月8%/2015年10月10%)を織り込み。cpi列は「消費者物価指数(除く生鮮食品)」欄(引き上げの影響を含む、注4)、cpi_extax列は「消費税率引き上げの影響を除くケース」欄(注3、政策委員自身の作成ベース)。実質GDPには引き上げ影響を除くケースの記載なし(表内は斜線)。
2012-10,restated,2012-07,2012,2.2,2.4,2.2,0.1,0.3,0.2,,,,https://www.boj.or.jp/mopo/outlook/gor1210a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p18)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2012-10,restated,2012-07,2013,1.6,1.8,1.7,0.5,0.7,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1210a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p18)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2013-04,main,,2012,1.0,1.0,1.0,-0.2,-0.2,,,,,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。CPIは単一値-0.2%(中央値表示なし)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。本号よりWPI列なし。
2013-04,main,,2013,2.4,3.0,2.9,0.4,0.8,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。2013年度は消費税率引き上げの対象外のため除くケース列は該当なし(表内斜線)。
2013-04,main,,2014,1.0,1.5,1.4,2.7,3.6,3.4,0.7,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。消費税率8%への引き上げ(2014年4月)の影響を含む。cpi列=「消費者物価指数(除く生鮮食品)」欄、cpi_extax列=「消費税率引き上げの影響を除くケース」欄。
2013-04,main,,2015,1.4,1.9,1.6,1.6,2.9,2.6,0.9,2.2,1.9,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。新規追加年度。消費税率10%への引き上げ(2015年10月予定)の影響を含む。【前回収集での既知の誤りを修正】cpi_median(消費者物価指数(除く生鮮食品)欄の中央値)は表の中列<+2.6>であり、右列「消費税率引き上げの影響を除くケース」欄の中央値<+1.9>ではない。pdftoppm -r 200 -pngで当該ページを画像化し、3列(実質GDP/消費者物価指数(除く生鮮食品)/消費税率引き上げの影響を除くケース)の位置関係を目視で確認したうえで採用。
2013-04,restated,2013-01,2012,1.0,1.1,1.0,-0.2,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2013-04,restated,2013-01,2013,1.9,2.5,2.3,0.3,0.6,0.4,,,,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2013-04,restated,2013-01,2014,0.6,1.0,0.8,2.5,3.0,2.9,0.5,1.0,0.9,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2013-10,main,,2013,2.6,3.0,2.7,0.6,1.0,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1310a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p8)。
2013-10,main,,2014,0.9,1.5,1.5,2.8,3.6,3.3,0.8,1.6,1.3,https://www.boj.or.jp/mopo/outlook/gor1310a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p8)。
2013-10,main,,2015,1.3,1.8,1.5,1.6,2.9,2.6,0.9,2.2,1.9,https://www.boj.or.jp/mopo/outlook/gor1310a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p8)。
2013-10,restated,2013-07,2013,2.5,3.0,2.8,0.5,0.8,0.6,,,,https://www.boj.or.jp/mopo/outlook/gor1310a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p8)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2013-10,restated,2013-07,2014,0.8,1.5,1.3,2.7,3.6,3.3,0.7,1.6,1.3,https://www.boj.or.jp/mopo/outlook/gor1310a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p8)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2013-10,restated,2013-07,2015,1.3,1.9,1.5,1.6,2.9,2.6,0.9,2.2,1.9,https://www.boj.or.jp/mopo/outlook/gor1310a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p8)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2014-04,main,,2013,2.2,2.3,2.2,0.8,0.8,,,,,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。CPIは単一値+0.8%(中央値表示なし)。
2014-04,main,,2014,0.8,1.3,1.1,3.0,3.5,3.3,1.0,1.5,1.3,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。2014年4月の消費税率8%引き上げの影響を含む。
2014-04,main,,2015,1.2,1.5,1.5,1.9,2.8,2.6,1.2,2.1,1.9,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。2015年10月予定の消費税率10%引き上げの影響を含む。
2014-04,main,,2016,1.0,1.5,1.3,2.0,3.0,2.8,1.3,2.3,2.1,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。新規追加年度。
2014-04,restated,2014-01,2013,2.5,2.9,2.7,0.7,0.9,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2014-04,restated,2014-01,2014,0.9,1.5,1.4,2.9,3.6,3.3,0.9,1.6,1.3,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2014-04,restated,2014-01,2015,1.2,1.8,1.5,1.7,2.9,2.6,1.0,2.2,1.9,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2014-10,main,,2014,0.2,0.7,0.5,3.1,3.4,3.2,1.1,1.4,1.2,https://www.boj.or.jp/mopo/outlook/gor1410a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。
2014-10,main,,2015,1.2,1.7,1.5,1.8,2.6,2.4,1.1,1.9,1.7,https://www.boj.or.jp/mopo/outlook/gor1410a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。
2014-10,main,,2016,1.0,1.4,1.2,1.9,3.0,2.8,1.2,2.3,2.1,https://www.boj.or.jp/mopo/outlook/gor1410a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。
2014-10,restated,2014-07,2014,0.6,1.3,1.0,3.2,3.5,3.3,1.2,1.5,1.3,https://www.boj.or.jp/mopo/outlook/gor1410a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2014-10,restated,2014-07,2015,1.2,1.6,1.5,1.9,2.8,2.6,1.2,2.1,1.9,https://www.boj.or.jp/mopo/outlook/gor1410a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2014-10,restated,2014-07,2016,1.0,1.5,1.3,2.0,3.0,2.8,1.3,2.3,2.1,https://www.boj.or.jp/mopo/outlook/gor1410a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2015-04,main,,2014,-1.0,-0.8,-0.9,2.8,2.8,,0.8,0.8,,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。CPIは単一値+2.8%(注5:3月の前年比が2月と同じと仮定した計算値)。除くケースも単一値+0.8%として別セルに明記(前回収集ではこの値が非収録だったため追加)。ともに中央値表示なし。
2015-04,main,,2015,1.5,2.1,2.0,0.2,1.2,0.8,,,,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。2015年10月予定だった消費税率引き上げが延期され、2015年度中に税率変更がないため「消費者物価指数(除く生鮮食品)」列と「消費税率引き上げの影響を除くケース」列が結合表示(画像で結合セルを確認)。値はcpi_low/high/medianに記録し、cpi_extaxは空欄。
2015-04,main,,2016,1.4,1.8,1.5,1.2,2.2,2.0,,,,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。同上の理由でCPI2列結合。cpi_extaxは空欄。
2015-04,main,,2017,0.1,0.5,0.2,2.7,3.4,3.2,1.4,2.1,1.9,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。新規追加年度。2017年4月予定の消費税率10%引き上げの影響を含む(当時の予定。実際は2019年10月まで再延期)。
2015-04,restated,2015-01,2014,-0.6,-0.4,-0.5,2.9,3.2,2.9,0.9,1.2,0.9,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2015-04,restated,2015-01,2015,1.8,2.3,2.1,0.4,1.3,1.0,,,,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。「１月時点の見通し」行。CPI2列結合(理由は上記主見通し行と同じ)。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2015-04,restated,2015-01,2016,1.5,1.7,1.6,1.5,2.3,2.2,,,,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。「１月時点の見通し」行。CPI2列結合。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2015-10,main,,2015,0.8,1.4,1.2,0.0,0.4,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1510a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。2015年度中に消費税率変更がないためCPI2列結合(画像で結合セルを確認)。cpi_extaxは空欄。
2015-10,main,,2016,1.2,1.6,1.4,0.8,1.5,1.4,,,,https://www.boj.or.jp/mopo/outlook/gor1510a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。同上の理由でCPI2列結合。cpi_extaxは空欄。
2015-10,main,,2017,0.1,0.5,0.3,2.5,3.4,3.1,1.2,2.1,1.8,https://www.boj.or.jp/mopo/outlook/gor1510a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。2017年4月予定の消費税率10%引き上げの影響を含む。
